SG_UF,DT_SIN_PRI,count
RS,2020-05-20,139
RS,2020-05-21,124
RS,2020-05-22,120
RS,2020-05-23,109
RS,2020-05-24,91
RS,2020-05-25,158
RS,2020-05-26,103
RS,2020-05-27,101
RS,2020-05-28,124
RS,2020-05-29,116
RS,2020-05-30,127
SC,2019-12-29,3
SC,2020-01-01,2
SC,2020-01-02,2
SC,2020-01-03,4
SC,2020-01-05,2
SC,2020-01-06,1
SC,2020-01-07,2
SC,2020-01-08,1
SC,2020-01-10,3
SC,2020-01-11,1
SC,2020-01-12,1
SC,2020-01-14,3
SC,2020-01-15,2
SC,2020-01-17,1
SC,2020-01-18,2
SC,2020-01-21,1
SC,2020-01-22,1
SC,2020-01-23,2
SC,2020-01-26,3
SC,2020-01-27,1
SC,2020-01-28,1
SC,2020-01-30,1
SC,2020-01-31,1
SC,2020-02-01,3
SC,2020-02-02,1
SC,2020-02-03,2
SC,2020-02-04,2
SC,2020-02-05,4
SC,2020-02-06,3
SC,2020-02-08,5
SC,2020-02-09,4
SC,2020-02-10,2
SC,2020-02-11,1
SC,2020-02-12,3
SC,2020-02-13,1
SC,2020-02-14,2
SC,2020-02-16,3
SC,2020-02-17,5
SC,2020-02-18,5
SC,2020-02-19,2
SC,2020-02-20,6
SC,2020-02-22,7
SC,2020-02-23,3
SC,2020-02-24,3
SC,2020-02-25,2
SC,2020-02-26,7
SC,2020-02-27,4
SC,2020-02-28,8
SC,2020-02-29,6
SC,2020-03-01,9
SC,2020-03-02,8
SC,2020-03-03,4
SC,2020-03-04,4
SC,2020-03-05,8
SC,2020-03-06,10
SC,2020-03-07,9
SC,2020-03-08,5
SC,2020-03-09,14
SC,2020-03-10,21
SC,2020-03-11,11
SC,2020-03-12,20
SC,2020-03-13,26
SC,2020-03-14,21
SC,2020-03-15,41
SC,2020-03-16,56
SC,2020-03-17,48
SC,2020-03-18,55
SC,2020-03-19,47
SC,2020-03-20,65
SC,2020-03-21,51
SC,2020-03-22,51
SC,2020-03-23,61
SC,2020-03-24,59
SC,2020-03-25,53
SC,2020-03-26,51
SC,2020-03-27,53
SC,2020-03-28,47
SC,2020-03-29,37
SC,2020-03-30,42
SC,2020-03-31,37
SC,2020-04-01,69
SC,2020-04-02,38
SC,2020-04-03,45
SC,2020-04-04,31
SC,2020-04-05,43
SC,2020-04-06,40
SC,2020-04-07,47
SC,2020-04-08,43
SC,2020-04-09,50
SC,2020-04-10,58
SC,2020-04-11,33
SC,2020-04-12,40
SC,2020-04-13,60
SC,2020-04-14,41
SC,2020-04-15,50
SC,2020-04-16,38
SC,2020-04-17,50
SC,2020-04-18,41
SC,2020-04-19,49
SC,2020-04-20,56
SC,2020-04-21,34
SC,2020-04-22,50
SC,2020-04-23,45
SC,2020-04-24,55
SC,2020-04-25,40
SC,2020-04-26,48
SC,2020-04-27,40
SC,2020-04-28,46
SC,2020-04-29,46
SC,2020-04-30,51
SC,2020-05-01,59
SC,2020-05-02,43
SC,2020-05-03,43
SC,2020-05-04,45
SC,2020-05-05,41
SC,2020-05-06,51
SC,2020-05-07,42
SC,2020-05-08,50
SC,2020-05-09,48
SC,2020-05-10,64
SC,2020-05-11,60
SC,2020-05-12,47
SC,2020-05-13,49
SC,2020-05-14,49
SC,2020-05-15,65
SC,2020-05-16,51
SC,2020-05-17,53
SC,2020-05-18,63
SC,2020-05-19,57
SC,2020-05-20,70
SC,2020-05-21,50
SC,2020-05-22,58
SC,2020-05-23,63
SC,2020-05-24,46
SC,2020-05-25,79
SC,2020-05-26,57
SC,2020-05-27,48
SC,2020-05-28,59
SC,2020-05-29,52
SC,2020-05-30,52
SE,2019-12-29,1
SE,2020-01-02,1
SE,2020-01-17,1
SE,2020-01-19,1
SE,2020-02-01,2
SE,2020-02-04,1
SE,2020-02-10,1
SE,2020-02-13,1
SE,2020-02-14,1
SE,2020-02-20,1
SE,2020-02-27,2
SE,2020-03-01,3
SE,2020-03-08,3
SE,2020-03-09,2
SE,2020-03-10,3
SE,2020-03-11,3
SE,2020-03-12,6
SE,2020-03-13,4
SE,2020-03-14,2
SE,2020-03-15,5
SE,2020-03-16,3
SE,2020-03-17,2
SE,2020-03-18,5
SE,2020-03-19,6
SE,2020-03-20,3
SE,2020-03-21,4
SE,2020-03-22,6
SE,2020-03-23,10
SE,2020-03-24,5
SE,2020-03-25,5
SE,2020-03-26,6
SE,2020-03-27,3
SE,2020-03-28,6
SE,2020-03-29,3
SE,2020-03-30,6
SE,2020-03-31,4
SE,2020-04-01,8
SE,2020-04-02,7
SE,2020-04-03,6
SE,2020-04-04,5
SE,2020-04-05,7
SE,2020-04-06,7
SE,2020-04-07,5
SE,2020-04-08,6
SE,2020-04-09,10
SE,2020-04-10,8
SE,2020-04-11,7
SE,2020-04-12,6
SE,2020-04-13,4
SE,2020-04-14,5
SE,2020-04-15,7
SE,2020-04-16,8
SE,2020-04-17,7
SE,2020-04-18,9
SE,2020-04-19,5
SE,2020-04-20,17
SE,2020-04-21,5
SE,2020-04-22,8
SE,2020-04-23,9
SE,2020-04-24,18
SE,2020-04-25,10
SE,2020-04-26,12
SE,2020-04-27,22
SE,2020-04-28,16
SE,2020-04-29,15
SE,2020-04-30,20
SE,2020-05-01,22
SE,2020-05-02,29
SE,2020-05-03,24
SE,2020-05-04,15
SE,2020-05-05,28
SE,2020-05-06,19
SE,2020-05-07,24
SE,2020-05-08,22
SE,2020-05-09,24
SE,2020-05-10,40
SE,2020-05-11,25
SE,2020-05-12,25
SE,2020-05-13,38
SE,2020-05-14,27
SE,2020-05-15,26
SE,2020-05-16,26
SE,2020-05-17,22
SE,2020-05-18,42
SE,2020-05-19,32
SE,2020-05-20,30
SE,2020-05-21,26
SE,2020-05-22,24
SE,2020-05-23,41
SE,2020-05-24,40
SE,2020-05-25,50
SE,2020-05-26,33
SE,2020-05-27,24
SE,2020-05-28,38
SE,2020-12-11,50
SP,2019-12-29,9
SP,2019-12-30,18
SP,2019-12-31,14
SP,2020-01-01,29
SP,2020-01-02,19
SP,2020-01-03,19
SP,2020-01-04,14
SP,2020-01-05,15
SP,2020-01-06,19
SP,2020-01-07,13
SP,2020-01-08,19
SP,2020-01-09,8
SP,2020-01-10,18
SP,2020-01-11,14
SP,2020-01-12,8
SP,2020-01-13,9
SP,2020-01-14,14
SP,2020-01-15,18
SP,2020-01-16,11
SP,2020-01-17,14
SP,2020-01-18,10
SP,2020-01-19,14
SP,2020-01-20,11
SP,2020-01-21,11
SP,2020-01-22,15
SP,2020-01-23,16
SP,2020-01-24,17
SP,2020-01-25,19
SP,2020-01-26,18
SP,2020-01-27,15
SP,2020-01-28,17
SP,2020-01-29,6
SP,2020-01-30,16
SP,2020-01-31,12
SP,2020-02-01,18
SP,2020-02-02,11
SP,2020-02-03,20
SP,2020-02-04,14
SP,2020-02-05,17
SP,2020-02-06,14
SP,2020-02-07,17
SP,2020-02-08,20
SP,2020-02-09,22
SP,2020-02-10,31
SP,2020-02-11,17
SP,2020-02-12,27
SP,2020-02-13,19
SP,2020-02-14,27
SP,2020-02-15,26
SP,2020-02-16,32
SP,2020-02-17,43
SP,2020-02-18,31
SP,2020-02-19,24
SP,2020-02-20,43
